objectid,title,creator,archival_date,date,description,subject,location,latitude,longitude,source,identifier,rights,display_template,filename,object_location,image_small,image_thumb
gallery-1-1,Chinese miners in Idaho,Idaho State Historical Society,,,"Gold mining with rocker on Horseshoe Bend near Freedom (Slate Creek), Idaho County",mining; Mining equipment; Gold miners; Gold mining; Gold; Gold mining equipment; streams,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p265501coll1/id/243/rec/22,1268-A,Copyright Undetermined,image,1.1.jpg,/objects/1.1.jpg,/objects/1.1.jpg,/objects/1.1.jpg
gallery-1-2,Old mining city buildings,Idaho State Historical Society,1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890; 1891; 1892; 1893; 1894; 1895; 1896; 1897; 1898; 1899; 1900; 1901; 1902; 1903; 1904; 1905; 1906; 1907; 1908; 1909; 1910; 1911; 1912; 1913; 1914; 1915; 1916; 1917; 1918; 1919; 1920; 1921; 1922; 1923; 1924; 1925; 1926; 1927; 1928; 1929; 1930,,"An unidentified city with Chinese miners sitting on a stoop outside of a wooden building. Several store fronts, and several old miners in the background. The sun is shining brightly.",buildings; Wooden buildings; mining,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p265501coll1/id/242/rec/21,76-138-48,Copyright Undetermined,image,1.2.jpg,/objects/1.2.jpg,/objects/1.2.jpg,/objects/1.2.jpg
gallery-1-3,Chinese placer miners at work,Idaho State Historical Society,1900,1900,"Unidentified miners working at the Royal Placer at Rocky Bar, Elmore County, Idaho. The picture shows gold panning in progress. Note the variety of hats and clothing worn by the men. Circa 1900.",Mining equipment; Miners; Gold miners; Clothing & dress,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p265501coll1/id/244/rec/23,76-119-2-B,In Copyright,image,1.3.jpg,/objects/1.3.jpg,/objects/1.3.jpg,/objects/1.3.jpg
gallery-1-4,Ahn Goon,Idaho State Historical Society,1913,1913,"Ahn Goon popular Chinese resident in Grangeville, Idaho. He died in 1913. A method for carrying two baskets is pictured.",People; Baskets; Yokes,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p265501coll1/id/245/rec/24,75-228-31,In Copyright,image,1.4.jpg,/objects/1.4.jpg,/objects/1.4.jpg,/objects/1.4.jpg
gallery-1-5,View of Silver City,Idaho State Historical Society,1907,1907,"1. New York Summit- 7500 feet; 2. Jordon Creek; 3. Potosi Mine (Dump); 4. Morning Star Mine; 5. Cemetery, Knights of Pythias; 6. Cemetery, Chinese; 7. Cemetery, Masonic; 8. District Courthouse; 9. War Eagle Hotel- Several buildings (North and South ends marked arrows); 10. Idaho Hotel-on Jordan Street; 11. Masonic Hall; 12. schoolhouse; 13. Catholic Church ""Our Lady of Tears""; 14. Episcopal Church; 15. Cabin of WM. D. Haywood; 16. Water tanks for city supply; 17. Theater; 18. Lincoln Mill, one of oldest custom mills in Silver City",,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll12/id/625/rec/25,133-B,Copyright Idaho State Historical Society 2012. Permission is required for use in any form. For further information please contact the Idaho State Archives.,image,1.5.jpg,/objects/1.5.jpg,/objects/1.5.jpg,/objects/1.5.jpg
gallery-1-6,Zee Tai Chung Co,"Evert L. ""Shorty"" Fuller",1934-1943,1934,"A panoramic view of a main business district in Boise, Idaho. Businesses including Zee Tai Chung Co, selling Chinese goods, at 904 West Idaho. The building is the same as the Pacific Hotel run by George B. Smith. The background scene is dominated by a church under construction and civic buildings. From left to right you can see the First Baptist Church on Tenth and West Jefferson, the First Presbyterian Church on Ninth and State, the Columbia Theatre roof, the Boise Central School, and the Ada County Courthouse.",Churches; Cities & towns; City & town life; Cityscapes; Cityscape photographs; Social & civic facilities; Stone buildings; Storefronts; Stores & shops; Streets; Architecture,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p265501coll3/id/60/rec/27,MS511-74,Copyright Idaho State Historical Society. Permission is required for use in any form. For further information please contact the Idaho State Archives.,image,1.6.jpg,/objects/1.6.jpg,/objects/1.6.jpg,/objects/1.6.jpg
gallery-1-7,Chas. A & Polly Bemis,Idaho State Historical Society,1850; 1851; 1852; 1853; 1854; 1855; 1856; 1857; 1858; 1859; 1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869; 1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890; 1891; 1892; 1893; 1894; 1895; 1896; 1897; 1898; 1899; 1900; 1901; 1902; 1903; 1904; 1905; 1906; 1907; 1908; 1909; 1910; 1911; 1912; 1913; 1914; 1915; 1916; 1917; 1918; 1919; 1920; 1921; 1922; 1923; 1924; 1925; 1926; 1927; 1928; 1929; 1930; 1931; 1932; 1933; 1934; 1935; 1936; 1937; 1938; 1939; 1940,,in front of cabin.,cabins; Chinese; pioneers,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll21/id/319/rec/32,62-44.5,Copyright Idaho State Historical Society 2012. Permission is required for use in any form. For further information please contact the Idaho State Archives.,image,1.7.jpg,/objects/1.7.jpg,/objects/1.7.jpg,/objects/1.7.jpg
gallery-1-8,"House of Loui, Chop Suey","Leo J. ""Scoop"" Leeburn/ Idaho State Historical Society",1979-14,1979-14,"House of Loui, Chop Suey",Chinese restaurants,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll3/id/517/rec/34,P2006-20-01119-7,Copyright Idaho State Historical Society 2012. Permission is required for use in any form. For further information please contact the Idaho State Archives.,image,1.8.jpg,/objects/1.8.jpg,/objects/1.8.jpg,/objects/1.8.jpg
gallery-1-9,"Streets, Quartzburg, Idaho",Idaho State Historical Society,1899,1899,"Quartzburg street circa 1899. 1. Bill Coughanour dwelling (nephew of Dave); 2. Daly Hotel; 3. Daly Saloon; 4. Wm. Splaine store; 5. ""House of Blazes""; 6. Berry dwelling; 7. Wm. Shelly dwelling; 8. ""Dick the Fiddler's"" dwelling (he played for dances); 9. Stage barn (at end of street); 10. McGough dwelling (near end on right); 11. Daly's woodpile; 12. unknown small building; 13. Dave Coughanour's dwelling; 14. ""Sky Parlor"" - binkhouse on lower floor, community house on upper floor; 15. cabin on hill at left was dwelling of Ah Foo, Chinese.",Mining; Mining camps; City & town life,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p265501coll1/id/721/rec/35,65-134-1,In Copyright,image,1.9.jpg,/objects/1.9.jpg,/objects/1.9.jpg,/objects/1.9.jpg
gallery-2,"Chinese Building, Capitol Boulevard & Front Street",Idaho State Historical Society,1968-10-10,1968-10-10,Old Chinese building located on northwest corner Capitol Boulevard & Front Street. There was a tunnel from a Chinese place at 709 Idaho Street to this building in the early days.,building (structure); mercantile buildings,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll25/id/34/rec/2,P1995-25_035,In Copyright/ For more information regarding reproduction or use of images visit http://history.idaho.gov/isa-photographs or contact the Idaho State Archives: public.archives@ishs.idaho.gov (208) 334-2620,image,2.0.jpg,/objects/2.0.jpg,/objects/2.0.jpg,/objects/2.0.jpg
gallery-2-1,Chinese Festival,Idaho State Historical Society,1898,1898,Chinese festival 1898. From album G-68.,,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll12/id/419/rec/3,72-98-105,Copyright Idaho state Historical Society 2012. Permission is required for use in any form. For further information please contact the Idaho state Archives.,image,2.1.jpg,/objects/2.1.jpg,/objects/2.1.jpg,/objects/2.1.jpg
gallery-2-2,Chinese 1,Idaho State Historical Society,1963,1963,"View of Chinese section of city, on Grove Street between 7th and 8th.",Chinese; streetscapes,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll12/id/426/rec/4,75-104-2A,Copyright Idaho state Historical Society 2012. Permission is required for use in any form. For further information please contact the Idaho state Archives.,image,2.2.jpg,/objects/2.2.jpg,/objects/2.2.jpg,/objects/2.2.jpg
gallery-2-3,Chinese New Year Parade,Idaho State Historical Society,1911,1911,"Chinese New Year Parade, corner of 10th and Idaho.",parades; celebrations; holidays; Chinese,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll12/id/431/rec/6,76-18-9,Copyright Idaho state Historical Society 2012. Permission is required for use in any form. For further information please contact the Idaho state Archives.,image,2.3.jpg,/objects/2.3.jpg,/objects/2.3.jpg,/objects/2.3.jpg
gallery-2-4,Chinese in Delamar,Idaho State Historical Society,1898,1898,Chinese towns,Chinese,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll12/id/452/rec/8,83-37-22,Copyright Idaho state Historical Society 2012. Permission is required for use in any form. For further information please contact the Idaho state Archives.,image,2.4.jpg,/objects/2.4.jpg,/objects/2.4.jpg,/objects/2.4.jpg
gallery-2-5,Chinese New Year's Day Parade,Idaho State Historical Society,,,Chinese New Year's Day parade headed south on 7th St. The State Capitol is under construction in the back ground. A crowd of citizens watches the procession from the street curb.,Capitols; Parades & processions; City & town life,"Boise, Idaho",,,https://idahohistory.contentdm.oclc.org/digital/collection/p265501coll9/id/89/rec/9,68-14-1,Copyright Idaho State Historical Society 2012. Permission is required for use in any form. For further information please contact the Idaho State Archives.,image,2.5.jpg,/objects/2.5.jpg,/objects/2.5.jpg,/objects/2.5.jpg
gallery-2-6,Gooey the Cook,E. Jane Gay,1889-06,1889-06,"A Chinese man, dressed in jacket, trousers, and slippers stands in front of a wooden wall. His long hair is braided, and the braid wound around his head. In his left hand he holds a book, newspaper, or magazine that is rolled open.",Chinese; miners,"Nez Perce Reservation, Lewis County, Idaho",,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll20/id/5/rec/10,63-221-007,Public Domain,image,2.6.jpg,/objects/2.6.jpg,/objects/2.6.jpg,/objects/2.6.jpg
gallery-2-7,Parade,George Edward Tonkin,1925,1925,"A float in the parade. A group of 7 ethnic children are riding the float. There are Chinese paper lanterns hanging from the top of the float, and there is a sign with Chinese characters written on it.",Parades; Floats; Children; Boys; Girls; Ethnic Groups; Minorities,"Boise, Idaho",,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll35/id/37/rec/11,P1998-28-093,Public Domain,image,2.7.jpg,/objects/2.7.jpg,/objects/2.7.jpg,/objects/2.7.jpg
gallery-2-8,Chinese Man,Idaho State Historical Society,1898,1898,Idaho City man who grew and peddled his own vegetables.,Chinese; men,Idaho (state)--Boise (county)--Idaho City (inhabited place),,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll12/id/432/rec/12,3796,Copyright Idaho state Historical Society 2012. Permission is required for use in any form. For further information please contact the Idaho state Archives.,image,2.8.jpg,/objects/2.8.jpg,/objects/2.8.jpg,/objects/2.8.jpg
gallery-2-9,Chinese Men 1,Idaho State Historical Society,1898,1898,"On right: Mr. Yee-Hi of Blackfoot, Idaho. Other man Unidentified.",Chinese; men,,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll12/id/436/rec/13,77-155-21,Copyright Idaho state Historical Society 2012. Permission is required for use in any form. For further information please contact the Idaho state Archives.,image,2.9.jpg,/objects/2.9.jpg,/objects/2.9.jpg,/objects/2.9.jpg
gallery-3,Chinese Temple Interior,"Evert L. ""Shorty"" Fuller",1934-1943,1934,"Chinese Temple Interior showing the altar area including religious sculptures, figurines, and ceremonial dishes.",Temples; Religious facilities; Altars; Altarpieces; Sculpture; Figurines,Idaho(state)-Ada(county)-Boise(inhabited place),,,https://idahohistory.contentdm.oclc.org/digital/collection/p265501coll3/id/265/rec/14,MS511-315,Copyright Idaho State Historical Society. Permission is required for use in any form. For further information please contact the Idaho State Archives.,image,3.0.jpg,/objects/3.0.jpg,/objects/3.0.jpg,/objects/3.0.jpg
gallery-3-1,"Fong's Tea Garden And Restaurant, 624 Idaho Street","Fitzwater, Ivan M.",1968-10-10,1968-10-10,"Chinese restaurant, on northeast corner of Capitol Boulevard and Idaho Street. Adelmann Brothers Assay Office, in this same building, can be seen at far right.",mercantile buildings; taverns; cafes (restaurants); Asian,"Boise, Ada County, Idaho",43.6135,-116.20345,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll25/id/30/rec/17,P1995-25_031,In Copyright,image,3.1.jpg,/objects/3.1.jpg,/objects/3.1.jpg,/objects/3.1.jpg
gallery-3-2,"Fong's Tea Garden, W. Idaho Street, Boise, Idaho","Margolies, John, photographer",1980,1980,,Boise; Chinese Restaurants; Color; Idaho; Slides; United States,"Boise
Idaho
United States",,,https://www.loc.gov/item/2017702271/,mrg 00157 https://hdl.loc.gov/loc.pnp/mrg.00157,"No known restrictions on publication. For more information, see ""John Margolies Roadside America Photograph Archive - Rights and Restrictions Information"" https://www.loc.gov/rr/print/res/723_marg.html",image,3.2.jpg,/objects/3.2.jpg,/objects/3.2.jpg,/objects/3.2.jpg
gallery-3-3,"Hong Kong Cafe, 12th Avenue, South Nampa, Idaho",John Margolies,1980,1980,1 photograph : color transparency ; 35 mm (slide format).,,"Nampa, Idaho",,,https://commons.wikimedia.org/w/index.php?search=chinese+idaho&title=Special:MediaSearch&go=Go&type=image,,Public domain,image,3.3.jpg,/objects/3.3.jpg,/objects/3.3.jpg,/objects/3.3.jpg
